Organism_group,Location,Isolation_source,Isolation_type,BioSample,Assembly,Collection_year
E.coli and Shigella,United Kingdom,human,clinical,SAMN08383630,GCA_012280155.1,2018
E.coli and Shigella,United Kingdom,human,clinical,SAMN08383653,GCA_012279675.1,2018
E.coli and Shigella,United Kingdom,human,clinical,SAMN08383655,GCA_012279615.1,2018
E.coli and Shigella,United Kingdom,human,clinical,SAMN09207669,GCA_012203985.1,2018
E.coli and Shigella,United Kingdom,human,clinical,SAMN09207665,GCA_012203785.1,2018
E.coli and Shigella,United Kingdom,human,clinical,SAMN09207668,GCA_012203705.1,2018
E.coli and Shigella,United Kingdom,human,clinical,SAMN09207685,GCA_014431005.1,2018
E.coli and Shigella,United Kingdom,human,clinical,SAMN09207731,GCA_012203825.1,2018
E.coli and Shigella,United Kingdom,human,clinical,SAMN09207683,GCA_012203585.1,2018
E.coli and Shigella,United Kingdom,human,clinical,SAMN09207693,GCA_037414035.1,2018
E.coli and Shigella,China,human,clinical,SAMN30160605,GCA_026722365.1,2018
E.coli and Shigella,China,human,clinical,SAMN30160604,GCA_026722305.1,2018
E.coli and Shigella,China,human,clinical,SAMN30160603,GCA_026722345.1,2018
E.coli and Shigella,China,human,clinical,SAMN30160593,GCA_026722545.1,2018
E.coli and Shigella,China,human,clinical,SAMN30160592,GCA_026722285.1,2018
E.coli and Shigella,China,human,clinical,SAMN30160591,GCA_026722325.1,2018
E.coli and Shigella,China,human,clinical,SAMN30160589,GCA_026722225.1,2018
E.coli and Shigella,China,human,clinical,SAMN30160588,GCA_026722245.1,2018
E.coli and Shigella,China,Poultry,clinical,SAMN17393601,GCA_032537905.1,2019
E.coli and Shigella,China,Chicken,environmental/other,SAMN14119811,GCA_018295725.1,2019
E.coli and Shigella,Nigeria,human,clinical,SAMN25050073,GCA_042853785.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050070,GCA_042846555.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050060,GCA_042850525.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050066,GCA_042849905.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050065,GCA_042853665.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050064,GCA_042849865.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050063,GCA_042846515.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050062,GCA_042843465.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050069,GCA_045008005.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050068,GCA_042849825.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050077,GCA_045007965.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050076,GCA_042860155.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050114,GCA_042846345.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050113,GCA_042849805.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050119,GCA_042860135.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050116,GCA_042846305.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050075,GCA_042849595.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050074,GCA_042860175.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050072,GCA_045007885.1,2020
E.coli and Shigella,Nigeria,human,clinical,SAMN25050067,GCA_042849635.1,2020
E.coli and Shigella,New Zealand,clinical,clinical,SAMN39582418,GCA_044996055.1,2022
E.coli and Shigella,New Zealand,clinical,clinical,SAMN39582417,GCA_044996015.1,2022
E.coli and Shigella,New Zealand,clinical,clinical,SAMN39582416,GCA_042713495.1,2022
E.coli and Shigella,New Zealand,clinical,clinical,SAMN39582415,GCA_044996025.1,2022
E.coli and Shigella,New Zealand,clinical,clinical,SAMN39582414,GCA_044995995.1,2022
E.coli and Shigella,New Zealand,clinical,clinical,SAMN39582413,GCA_042703515.1,2022
E.coli and Shigella,New Zealand,clinical,clinical,SAMN39582412,GCA_044995935.1,2022
E.coli and Shigella,New Zealand,clinical,clinical,SAMN39582411,GCA_042710215.1,2022
E.coli and Shigella,New Zealand,clinical,clinical,SAMN39582410,GCA_044995955.1,2022
E.coli and Shigella,New Zealand,clinical,clinical,SAMN39582409,GCA_044995875.1,2022
E.coli and Shigella,Germany,chicken,environmental/other,SAMN18917900,GCA_024998045.1,2020
E.coli and Shigella,Germany,chicken,environmental/other,SAMN31083756,GCA_029946355.1,2018
E.coli and Shigella,Germany,chicken,environmental/other,SAMN31083989,GCA_029946425.1,2022
E.coli and Shigella,Germany,chicken,environmental/other,SAMN31954454,GCA_036527435.1,2022
E.coli and Shigella,Germany,chicken,environmental/other,SAMN16793118,GCA_045748345.1,2020
E.coli and Shigella,France,human,clinical,SAMEA7758207,GCA_017040455.1,2018
E.coli and Shigella,France,human,clinical,SAMEA7758208,GCA_017040655.1,2018
E.coli and Shigella,France,human,clinical,SAMEA7758209,GCA_017040335.1,2018
E.coli and Shigella,France,human,clinical,SAMEA7758210,GCA_017040665.1,2018
E.coli and Shigella,France,human,clinical,SAMEA7758211,GCA_017039905.1,2018
E.coli and Shigella,USA,chicken,environmental/other,SAMN13041521,GCA_012471415.1,2019
E.coli and Shigella,USA,chicken,environmental/other,SAMN13051405,GCA_012449745.1,2019
E.coli and Shigella,USA,chicken,environmental/other,SAMN21542135,GCA_020095365.1,2021
E.coli and Shigella,USA,chicken,environmental/other,SAMN21873309,GCA_020209965.1,2021
E.coli and Shigella,USA,chicken,environmental/other,SAMN21873308,GCA_020212625.1,2021
E.coli and Shigella,USA,chicken,environmental/other,SAMN21873307,GCA_020214425.1,2021
E.coli and Shigella,USA,chicken,environmental/other,SAMN21873288,GCA_020212515.1,2021
E.coli and Shigella,USA,chicken,environmental/other,SAMN13320519,GCA_012613905.1,2019
E.coli and Shigella,USA,chicken,environmental/other,SAMN13320506,GCA_012614385.1,2019
E.coli and Shigella,USA,beef,environmental/other,SAMN13446263,GCA_011820555.1,2019
E.coli and Shigella,USA,beef,environmental/other,SAMN13446260,GCA_012610305.1,2019
E.coli and Shigella,USA,chicken,environmental/other,SAMN13446261,GCA_012610075.1,2019
E.coli and Shigella,USA,chicken,environmental/other,SAMN13836668,GCA_012662725.1,2020
E.coli and Shigella,USA,chicken,environmental/other,SAMN13842338,GCA_012619505.1,2019
E.coli and Shigella,USA,beef,environmental/other,SAMN13852099,GCA_012662525.1,2019
E.coli and Shigella,USA,chicken,environmental/other,SAMN13852104,GCA_012662445.1,2019
E.coli and Shigella,China,Chicken,environmental/other,SAMN14119833,GCA_018295705.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393599,GCA_032537865.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393598,GCA_032537845.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393597,GCA_032537825.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393596,GCA_032537765.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393595,GCA_032537745.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393594,GCA_032537785.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393593,GCA_032537725.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393592,GCA_032537705.1,2019
E.coli and Shigella,China,Poultry,clinical,SAMN17393591,GCA_032537685.1,2019
E.coli and Shigella,Argentina,beef,environmental/other,SAMN42317992,GCA_040516485.1,2022
E.coli and Shigella,Argentina,beef,environmental/other,SAMN42318016,GCA_040516565.2,2022
E.coli and Shigella,Brazil,beef,environmental/other,SAMN33549799,GCA_041294785.1,2021
E.coli and Shigella,Brazil,beef,environmental/other,SAMN33549797,GCA_041294815.1,2021
E.coli and Shigella,Brazil,beef,environmental/other,SAMN33549800,GCA_041294825.1,2021
E.coli and Shigella,Brazil,beef,environmental/other,SAMN33549798,GCA_041294835.1,2021
E.coli and Shigella,Brazil,beef,environmental/other,SAMN33549801,GCA_041294885.1,2021
E.coli and Shigella,Brazil,beef,environmental/other,SAMN33549803,GCA_041294905.1,2022
E.coli and Shigella,Argentina,beef,environmental/other,SAMN21210952,GCA_021504235.1,2020
E.coli and Shigella,Argentina,beef,environmental/other,SAMN21210946,GCA_021504385.1,2019
E.coli and Shigella,USA,chicken,environmental/other,SAMN21873295,GCA_020212745.1,2021
E.coli and Shigella,USA,chicken,environmental/other,SAMN21873294,GCA_020212685.1,2021
E.coli and Shigella,USA,chicken,environmental/other,SAMN21873293,GCA_020211525.1,2021
E.coli and Shigella,USA,chicken,environmental/other,SAMN21873292,GCA_020213485.1,2021
